element,level,t,r,theta,phi,Interval size
7841,17,0.885875209993487,0.04740134171000841,1.4915302928983685,2.679457693415488,7854
7846,18,0.8991793222211537,0.048995798416062296,0.7527219156140476,1.0344343497561268,7854
7848,18,0.9033468511193584,0.03815862724771428,1.0249940616687345,2.437945580322967,7854
7854,19,0.9376051656358764,0.047841984255574954,0.9860607078897567,1.6715704283352772,7854
7855,20,1.0,0.0,0,0,7854
0,0,0.0,0.0,0,0,7854
1,1,0.06101467224643664,0.051893052964589695,0.38809010087184803,1.656082519221749,7854
2,1,0.08495705089468808,0.08282146656169619,-2.9537086431274546,1.022337694362715,7854
3,1,0.08683267606489231,0.031336606618271506,1.9460425205485727,0.7065980157883751,7854
6,1,0.09071423414330138,0.042471617086201334,0.3457982454464569,0.991961285780761,7854
7,1,0.09146201911154161,0.08193735752961469,3.0461798793728176,1.4024067512430947,7854
9,1,0.10297671223867,0.07992853491512014,-1.6940306678524546,0.5129629478387134,7854
13,1,0.10867289063015573,0.08246443198790741,-0.6576559279789312,0.63400706461648,7854
28,1,0.13802038691804175,0.12700648572113415,-0.5392866582357718,2.3888749847252826,7854
10,2,0.10472696638817991,0.0836375600360507,0.5989513635419009,1.5394618660938795,7854
12,2,0.10848680131995025,0.07823613185073232,-3.1343037846324138,1.1841137378094937,7854
18,2,0.11935786835570705,0.08904349538817649,2.8691712215185166,1.618880359328113,7854
20,2,0.12195393601218152,0.07269563849024603,0.1740094804548876,1.5218683931494048,7854
21,2,0.12298484914897534,0.09449579439345607,-2.928829132481716,1.1113833003255542,7854
22,2,0.12334270026565808,0.10604983773558908,3.131102938686367,1.3202848921806676,7854
35,2,0.1445631325284682,0.07460094802342489,1.843986468487332,0.9258609404612786,7854
41,2,0.15120759914916004,0.09901279097326678,-2.5261003626802587,1.5477901745002083,7854
56,2,0.1678061620200022,0.0773583705966266,-0.4305127771182575,0.5554897804021589,7854
63,2,0.17080714625296523,0.12239340859801634,-0.571488638642838,2.3068131583774516,7854
52,3,0.16466644273095954,0.11954773986614635,0.5285971340489449,1.7886570153159824,7854
60,3,0.17023594076330362,0.03855781575094809,-0.4540293919707728,1.6921009728035608,7854
73,3,0.17634013443772212,0.12443767031359547,3.065990208117771,1.2336142417847291,7854
86,3,0.18745839659874708,0.09330965905646799,-2.3874549722848237,1.1839471827394272,7854
93,3,0.1933889734137556,0.06690909428519484,0.29975699023300256,1.9036469519001573,7854
105,3,0.20096362241725685,0.07367619734789564,0.02798181027019082,0.48666386508000603,7854
106,3,0.20110958949189106,0.08092747306329302,2.790350850262662,1.3378009281557586,7854
128,3,0.21289439674027155,0.11340865197977301,-2.212940272144509,1.8225349874573906,7854
136,3,0.217419800934324,0.13840092177170576,-0.7844725743926846,2.2756301195027397,7854
142,3,0.21896550857917363,0.13203333601619682,2.1587967294836234,1.0403704506766154,7854
147,3,0.22099754957433115,0.13705260102435882,2.140316213487264,1.1681222593649596,7854
109,4,0.20222105789956746,0.14714137295521118,3.0458985809085997,1.165376957491306,7854
146,4,0.2206006987546666,0.017719532059330183,-0.6104988916882994,2.0258898276521338,7854
150,4,0.22186852699271353,0.06574903146950715,0.2001531900250013,1.9843739626253452,7854
170,4,0.2295850609724276,0.05237800977058234,-0.6878347869052786,0.9028149945757544,7854
190,4,0.2363875637661501,0.10461988076924937,0.027787823667015123,0.6811490766642495,7854
219,4,0.24466504824706115,0.08253163706848052,1.2453655047895353,1.6890189047617612,7854
220,4,0.24501407583703105,0.10534388059184224,-2.3544026784504033,2.0042383678011038,7854
225,4,0.24656671497448246,0.146701198058214,-2.7780689130359004,1.248232849239398,7854
238,4,0.2508468207129746,0.1143375689385428,-0.6850731655952113,2.1224976353803613,7854
254,4,0.2541012954507683,0.1340888923379144,1.9847552368486048,1.0249737073928358,7854
267,4,0.2589460143021658,0.03837426786340355,-2.636682235723354,2.0342842623280597,7854
302,4,0.26590848752114093,0.134008232115747,-2.315250871047352,0.5941287135094389,7854
326,4,0.2699580977408319,0.11736776721901242,2.268411072245139,0.9788297507724463,7854
366,4,0.2771424880055354,0.15753121877130602,-1.9605393188499247,1.1724811691664325,7854
213,5,0.24361913453624218,0.14558571199471712,2.952255985941163,0.9052944046198403,7854
246,5,0.252698276144503,0.16209502952301727,2.958544499937955,1.4532681230946063,7854
271,5,0.2602045106613592,0.15099266971100647,2.8756500408998313,1.0754188228095554,7854
355,5,0.27533160837545223,0.0900383195415411,-2.9309698463301914,1.197872936360578,7854
372,5,0.27834541560431947,0.12322028026400728,-0.16076704807361,0.5706511418749844,7854
399,5,0.28235191523699477,0.0537427767456037,0.7702537951502482,2.4961357588532973,7854
415,5,0.28480389924280325,0.07866964667272958,1.2437358937630996,1.1901800929251491,7854
424,5,0.28671761615461866,0.09993376427403708,-2.99357707100427,1.3629454344612162,7854
465,5,0.2930525866391679,0.10047303409159197,-0.42773922450547636,1.9493461583726859,7854
512,5,0.29869477986680437,0.11937391390108737,2.3396646293830816,0.8543751863354999,7854
591,5,0.309962475998369,0.1528676852302854,-2.4785568995137575,1.5027823774174882,7854
593,5,0.3104910504559688,0.15137339686794316,-2.3016373235471224,0.5083393063406281,7854
608,5,0.3128371767572927,0.10309399495369667,-0.7842814903435235,0.912726753272511,7854
709,5,0.32670009872155514,0.1145875769022596,-2.227322818514745,1.634711889284242,7854
747,5,0.3310021691954359,0.04735959712481546,-0.597200714619461,1.6914971352218477,7854
818,5,0.3372976382664934,0.11017613320747774,-2.005672502061275,1.3291442232387438,7854
604,6,0.3121303303597036,0.12911284428669687,-0.16137775881692082,0.7292535805259178,7854
704,6,0.32525463743510863,0.17057905792019087,2.6366260552696756,1.1251036013839228,7854
762,6,0.3323353433389029,0.0892496628379986,1.5856260619845073,1.1155236525433219,7854
763,6,0.33237679735837855,0.057656123611140885,2.7454265951442927,1.4353296579017327,7854
789,6,0.33445210332907194,0.09825270907778771,2.50117454864507,0.49203316018033705,7854
810,6,0.3367246447217067,0.08635503848526403,-0.4252232230690621,1.6450264088624464,7854
845,6,0.33992687792260223,0.22231037128486192,2.926470586535004,1.7456759592266253,7854
883,6,0.34273245758130155,0.15743067633361496,2.9532005518556774,1.161759428841237,7854
904,6,0.3457965377522275,0.09508793043646008,0.5840321795190883,3.0696666526050316,7854
921,6,0.3476120118033874,0.13225337897972644,2.532370091734027,0.753769559592205,7854
926,6,0.3482472419653134,0.0859728905631008,-0.8370548561948449,2.736192389153182,7854
957,6,0.35117757964217744,0.14100559023377604,0.7570617007216434,0.19798326351803372,7854
1015,6,0.3570698741981849,0.15894713465617635,-3.1223611507812854,1.078310555261232,7854
1070,6,0.3607614056760359,0.1074145611456836,-0.9647847827410828,0.8986367949946977,7854
1090,6,0.36205142964590753,0.08181432989640328,-2.2883266417986627,0.9476246476985889,7854
1106,6,0.3632690320507451,0.08835133012824765,-2.019557018376671,0.41027912115312887,7854
1154,6,0.3669706753709342,0.09378880177978889,-2.877988550131373,0.48030050727867146,7854
1195,6,0.36962112116742385,0.03384108229938061,-0.9613839321689582,1.0700292402097271,7854
1227,6,0.3718507794488318,0.10926287002757772,-2.1917344703002786,1.3392696937770905,7854
1262,6,0.3746791577078734,0.04799444743721428,-1.1008846208349303,2.7587439043804034,7854
1288,6,0.3771240970943007,0.14626288683809063,-2.4075291722597236,0.5179875683205499,7854
1172,7,0.3680942878958171,0.09269973721361399,-0.3611583097062356,0.8549755908495855,7854
1214,7,0.37105898224083966,0.1142254512474482,1.704730039415874,1.0365409626396622,7854
1409,7,0.3849220749473613,0.1928583277612189,2.8352704682535204,1.10747391870033,7854
1462,7,0.3889410684624365,0.07520179680773649,-0.3638087507881405,2.6347275055905324,7854
1493,7,0.39103078768274135,0.12516104372459574,2.5704998051806136,0.9473289330064024,7854
1542,7,0.39358756559763763,0.0737282681745831,2.457689894277639,2.801545284460101,7854
1555,7,0.3943470537666356,0.1303337324707882,-0.6839713004704241,0.378505713951559,7854
1594,7,0.3968979999398491,0.2008852432634195,3.0313067813505605,1.7759354691983327,7854
1764,7,0.406590622074805,0.039653578054219485,-3.105754399453649,1.5083952679903714,7854
1786,7,0.40756637399673823,0.15290321116910252,3.1367530981790797,1.0440136457455702,7854
1825,7,0.409152873142306,0.12125241198148794,-1.0030650355327826,1.4086147673875147,7854
1905,7,0.4141095405959717,0.11912407484488031,-2.6145651648854646,0.36749831343235106,7854
2274,7,0.4330062078311854,0.16640860476858796,-2.1361066697065794,0.27584587450312914,7854
2851,7,0.45870743129511793,0.06053305326091035,-1.3956482012334512,1.7158838929066176,7854
2085,8,0.42364227139348287,0.12801631792756696,2.1125083976442034,1.1338533198079668,7854
2187,8,0.42846073877195856,0.13102107205031044,2.7634071578092074,0.9193153219428977,7854
2193,8,0.4288931604770202,0.08359052433713923,2.556173527043837,2.5754090478472182,7854
2211,8,0.43008697067084045,0.027461910535561927,-3.09694398824056,1.3779513844923135,7854
2235,8,0.43115734539573614,0.1875294106483216,3.107952251815921,1.828925940065281,7854
2248,8,0.43204028809210027,0.09938036586030646,-0.513406409382381,1.3749158023978407,7854
2313,8,0.43517376861995993,0.09958872417514947,2.127502276596415,1.0411182264634649,7854
2389,8,0.43878928717142873,0.1542113651559023,3.040758478708761,1.080056067897212,7854
2538,8,0.44494910243260877,0.13955238185502486,-1.1417619483269419,0.3781118637262631,7854
2676,8,0.4510521866620515,0.08460468832133636,3.0184779879049435,1.0810741697754156,7854
3273,8,0.47573695164841145,0.14495234326152454,-1.887788516232892,0.4488790715188284,7854
3325,8,0.4777208642605726,0.02420336012584094,0.6581522224859205,1.4808227791987054,7854
3594,8,0.48794867112498685,0.07709543552879938,-1.136824238059242,1.8808360916116313,7854
2685,9,0.45132389937838024,0.1495408900942334,2.0147263182689343,1.0813199780747262,7854
