element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0.0,0.0,[]
1,1,0.0002047631068204936,4.521146458102976e-05,0.0,0.0,[0]
2,2,0.0036479446164221496,0.000378406818122512,0.0,0.0,[1]
3,2,0.005150880321591167,0.002783840837872864,0.0,0.0,[1]
4,3,0.008589049067452614,0.004972542584789852,0.0,0.0,[3]
5,3,0.009228509625914816,0.002812689395811363,0.0,0.0,[2]
7,4,0.01276222757515344,0.0018552284646196071,0.0,0.0,[5]
8,4,0.015722652836459128,0.011749778816472656,0.0,0.0,[4]
9,5,0.017054248661204863,0.003936972999544541,0.0,0.0,[7]
11,5,0.017620773063366735,0.004906868620754068,0.0,0.0,[7]
16,5,0.021772800650027846,0.017487672698507595,0.0,0.0,[8]
25,6,0.027806601653544427,0.006995759874124818,0.0,0.0,[ 9 11]
51,6,0.042319575000416165,0.03466935732982945,0.0,0.0,[16]
52,6,0.042405393503476496,0.03701568562449131,0.0,0.0,[16]
29,7,0.03179379857050757,0.009277073940397562,0.0,0.0,[25]
55,7,0.04510712189985977,0.03656788521677845,0.0,0.0,[51 52]
36,8,0.03391145516680605,0.009059854375083276,0.0,0.0,[29]
72,8,0.04806115052953186,0.03453828297148398,0.0,0.0,[55]
75,8,0.05072773775776396,0.040437863381180494,0.0,0.0,[55]
37,9,0.03473295748152483,0.009422272036246349,0.0,0.0,[36]
98,9,0.05467884296562808,0.03842711416038225,0.0,0.0,[72 75]
54,10,0.04506581972242618,0.014638672357805138,0.0,0.0,[37]
102,10,0.05553380507041661,0.039274676222214255,0.0,0.0,[98]
64,11,0.04692346437795636,0.016061345828760065,0.0,0.0,[54]
107,11,0.058047231846346636,0.038596333618059364,0.0,0.0,[102]
81,12,0.051647921014922105,0.016154243019013914,0.0,0.0,[64]
117,12,0.06024391532251905,0.037632617411622715,0.0,0.0,[107]
97,13,0.054294361807623814,0.018464226254442773,0.0,0.0,[81]
133,13,0.06387983025309096,0.03637909930775096,0.0,0.0,[117]
108,14,0.05823652578226901,0.01918888591701018,0.0,0.0,[97]
143,14,0.06664460060795219,0.033750649004860134,0.0,0.0,[133]
115,15,0.05983366811531887,0.019761157748521052,0.0,0.0,[108]
156,15,0.06980504961750156,0.036434170844926506,0.0,0.0,[143]
145,16,0.06726748493784451,0.015095835532889956,0.0,0.0,[115]
