element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0.0,0.0,[]
1,1,0.02916371540360796,0.02677578565787579,2.4421204239398824,0.0,[0]
7,2,0.04687941721598865,0.033532426729419036,1.9629114716732368,0.0,[1]
14,2,0.06106880282519678,0.055427867354550096,2.8021942350279683,0.0,[1]
23,3,0.06972164294673955,0.044741288999007395,2.0619580193589644,0.0,[7]
26,3,0.07252403022056275,0.053801861951340686,2.6917320304886974,0.0,[14]
39,4,0.07931625189817171,0.04998392725713144,1.9003249404689493,0.0,[23]
47,4,0.08325570306783481,0.053731889649922426,2.810800082913101,0.0,[26]
54,5,0.08896900999803481,0.05915204086259756,2.794814873170523,0.0,[47]
67,5,0.09652681768307614,0.043370611019488,1.8749407196673082,0.0,[39]
77,5,0.10007591742976774,0.06699329487297223,1.7197902000427336,0.0,[39]
66,6,0.0946932325995693,0.06285282640821159,2.7582528944677605,0.0,[54]
119,6,0.11902124873614217,0.05934669531378217,1.7163344601096473,0.0,[67 77]
132,7,0.12476805811846836,0.08437873079698817,2.498434343410542,0.0,[66]
165,7,0.13325478706740412,0.05556192267374253,1.8142593676780276,0.0,[119]
225,8,0.1488481588013444,0.05123552422127789,1.9817457900110547,0.0,[165]
312,8,0.16529696825495122,0.11879081166167443,2.397859662487128,0.0,[132]
385,9,0.17910842070759414,0.07928756402936567,2.039284780540548,0.0,[225]
412,9,0.18416830264381523,0.11997358231609286,2.34072103466298,0.0,[312]
440,10,0.18768478323152027,0.08648556860668613,2.0394021307418875,0.0,[385]
454,10,0.1899548032588093,0.12050593631909086,2.348765823324973,0.0,[412]
457,10,0.19027878563471834,0.11591452794129321,2.331009658313802,0.0,[412]
639,11,0.2109135267863569,0.10770459349851702,2.286014019727058,0.0,[454 457]
680,11,0.2148224308854656,0.10553480269699915,2.0902771603823873,0.0,[440]
760,11,0.22195780311701763,0.06291533166044586,2.1162352668592246,0.0,[440]
766,11,0.22314496096069292,0.06884156108014378,2.17377499325076,0.0,[440]
828,12,0.22929624338147314,0.1118077995009138,2.2072476048625282,0.0,[639 680]
844,12,0.23053786747976113,0.06434829265625558,2.1947810260203173,0.0,[760 766]
1055,13,0.2460679074086909,0.07208763582397248,2.1340561215809384,0.0,[844]
1174,13,0.2546762872283772,0.09752223372574358,2.286478201399733,0.0,[828]
1260,14,0.26071671268629815,0.07875654044144481,2.149823805068669,0.0,[1055]
1371,14,0.26728755705961615,0.10198925780707141,2.224659115274068,0.0,[1174]
1500,15,0.2762910193295812,0.08270648039975355,2.1358740394852465,0.0,[1260]
1529,15,0.2776832967113836,0.10670107341401387,2.1728516877413484,0.0,[1371]
1980,16,0.30009990532274844,0.09371244575794437,2.133043600712804,0.0,[1500 1529]
2210,17,0.31058376285830847,0.08884771569818901,2.175845121792209,0.0,[1980]
2627,18,0.3292281736040338,0.07749414963046965,2.0456014631960704,0.0,[2210]
2903,19,0.34033150991814143,0.07710943314005571,1.9348128173533143,0.0,[2627]
3153,19,0.3500100372357069,0.06636056870396939,2.173665613774225,0.0,[2627]
3603,20,0.36600078285332716,0.06019110818814437,2.2973033398990665,0.0,[3153]
3633,20,0.3668105543094705,0.06266846454969094,2.427808898459061,0.0,[3153]
3918,20,0.37567163026430295,0.07991000003900751,2.1613305770673583,0.0,[2903 3153]
3947,20,0.3768578132790372,0.07672774983606187,2.2285699042694582,0.0,[2903 3153]
4323,21,0.3885345193346281,0.061796184939114124,2.459573225336364,0.0,[3603 3633]
4834,21,0.4044405852386066,0.029313205468480943,2.2550957903245483,0.0,[3603 3633]
4865,21,0.4050993367417314,0.05224248632881168,2.210295263287349,0.0,[3603 3633 3918 3947]
5052,21,0.41021828185109854,0.037625481325285336,2.004809588807054,0.0,[3603 3633]
5655,22,0.4254756163364741,0.043768742036784374,2.267860987671396,0.0,[4323 4834 4865 5052]
5933,23,0.4328664582059597,0.039135067922422086,2.2101431367732864,0.0,[5655]
6612,24,0.44871165312472205,0.051125180741076755,2.2441819948795474,0.0,[5933]
7388,25,0.46555722812160083,0.0656833547305135,2.3560821527607265,0.0,[6612]
8091,26,0.4793690183999768,0.07607557423031122,2.4021961266502214,0.0,[7388]
8622,26,0.4895629606337958,0.06764594600270567,2.49568340853463,0.0,[7388]
9446,27,0.5048325768869366,0.06247804693320779,2.496802882895745,0.0,[8091 8622]
10094,28,0.5183110562748684,0.05833811166925595,2.313638438754134,0.0,[9446]
10637,29,0.5293671304413868,0.055088702232950856,2.219678680728729,0.0,[10094]
11395,30,0.5442871817488675,0.05564432114681158,1.9733253671904722,0.0,[10637]
11588,31,0.5485475126346685,0.05396530687767497,1.9542766894064154,0.0,[11395]
12391,31,0.5662951258066045,0.06701383503956704,1.712854481451974,0.0,[11395]
12992,32,0.5819507205659884,0.05636489680144709,1.6692748160418247,0.0,[11588 12391]
13040,32,0.5832283698533304,0.07269388533262994,1.9384569621916106,0.0,[11588 12391]
13626,33,0.600269198157887,0.04840106282071409,1.5803064282128114,0.0,[12992]
13738,33,0.6033584587172158,0.05591424976381543,1.834552799774581,0.0,[12992 13040]
14129,34,0.6156005231690354,0.05430592502745459,1.642132134059483,0.0,[13626 13738]
14461,35,0.6260746017436064,0.06044235218539632,1.6028638048291244,0.0,[14129]
14724,36,0.6341284161028018,0.06309992150944901,1.6716445439784595,0.0,[14461]
15139,37,0.6479320786739027,0.07212816001121738,1.7563496574251225,0.0,[14724]
15981,38,0.6794582751950854,0.05317937300572897,2.0942811003164232,0.0,[15139]
16326,39,0.6955510720486159,0.04413281922205386,2.0148764050713797,0.0,[15981]
16504,40,0.7044493276156369,0.04773602838520406,2.1290745403707065,0.0,[16326]
16726,41,0.7154540663859197,0.04691263901158275,2.3242057760027315,0.0,[16504]
17030,41,0.7342922129677851,0.026613834410293517,2.6092490916131243,0.0,[16504]
17376,42,0.7610264935390655,0.03213269889449081,-3.071074802054638,0.0,[16726 17030]
17450,43,0.7657512473964616,0.029572561880877573,-3.0626001713819333,0.0,[17376]
17642,44,0.7859461264867539,0.04764698018865658,-3.067973045425057,0.0,[17450]
17715,45,0.7957995001073686,0.04920476637284121,-3.0156979381878073,0.0,[17642]
17884,45,0.8165683145515369,0.04659753267857741,-2.4926191375450895,0.0,[17642]
17902,45,0.8196636862469229,0.02324967163905652,2.965800193019425,0.0,[17642]
17925,46,0.8234490671390213,0.0477519861159971,-2.472118900623268,0.0,[17715 17884]
18031,46,0.840360321248732,0.028336323995093927,-2.6455334999510454,0.0,[17715 17884 17902]
18043,47,0.8419268196047477,0.06201282977924951,-2.614158737935546,0.0,[17925]
18101,47,0.8539196815287399,0.016825475646659836,-2.7413996636045317,0.0,[18031]
18115,48,0.8573810416354561,0.06191235921960098,-2.6363001696874866,0.0,[18043]
18143,48,0.8666104210425442,0.015002147859852325,-2.156718753162379,0.0,[18101]
18169,48,0.8710289418111343,0.017057387133413152,-1.854118182999628,0.0,[18101]
18194,49,0.8772083285579634,0.042938963802219385,-2.707389749014683,0.0,[18115]
18230,49,0.8879880252322706,0.018459046171677873,-0.892095381498617,0.0,[18143 18169]
18232,50,0.8883222460491291,0.0504247259214589,-2.8140517084349166,0.0,[18194]
18246,50,0.8936692164089809,0.034542499885042974,-2.9534117153377597,0.0,[18194]
