element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0.0,0.0,[]
1,1,0.005769267084659857,0.004250266249493228,0.07951127353346046,0.0,[0]
2,2,0.01755397903085254,0.012641380908989941,-0.9952069766551876,0.0,[1]
5,3,0.028286607503570038,0.012950690070092294,-1.6642122372784935,0.0,[2]
7,4,0.0349113954645468,0.01866868009112175,-1.4836421787654936,0.0,[5]
18,5,0.043144374865624724,0.018664426677737204,-1.378351712536391,0.0,[7]
21,5,0.04360395435412712,0.022262909382373273,-1.2311880047505226,0.0,[7]
49,6,0.0588056850484564,0.016177346780239778,-1.8696193805322896,0.0,[18 21]
100,7,0.07835139027630267,0.012979911799653167,-2.9178419092164516,0.0,[49]
104,8,0.08030304353339335,0.013727912152215402,-2.8159260306717857,0.0,[100]
251,9,0.10495224177353313,0.03326970062158041,2.804035870094168,0.0,[104]
307,10,0.11184111010714404,0.03448858114432252,2.6567235468908934,0.0,[251]
384,11,0.12100630128104417,0.03441460022884166,2.5367474711396305,0.0,[307]
450,11,0.12779036945871391,0.03879928328947934,2.861988472833115,0.0,[307]
552,12,0.13861339984782095,0.04654129331293802,2.8459539458929597,0.0,[384 450]
689,13,0.14934667181515426,0.04758485031194313,2.811380239594352,0.0,[552]
703,13,0.15019935314461286,0.053801861951340686,2.6917320304886974,0.0,[552]
996,14,0.16771926816505967,0.06188716711499935,2.691565300084246,0.0,[689 703]
1334,15,0.18565924591925498,0.07576909546077486,2.6750900505207955,0.0,[996]
1790,16,0.20473830719335795,0.09283288554314277,2.7142311462287023,0.0,[1334]
2206,17,0.22012407524256994,0.09688863203929392,2.8565638555588366,0.0,[1790]
2499,18,0.22956610415198409,0.09969943083387665,2.8624832988616857,0.0,[2206]
2645,19,0.23399654768919786,0.0999269606310103,2.839070380976946,0.0,[2499]
3445,20,0.2546497004321233,0.10404389178887623,3.0101250395207027,0.0,[2645]
4257,21,0.27307662862223725,0.10426591304191218,3.059057968275083,0.0,[3445]
4677,22,0.28212164612762103,0.10647739336735323,3.14091425355339,0.0,[4257]
5162,23,0.29153349929912675,0.10696753260387952,-3.102911463703376,0.0,[4677]
5355,23,0.29553637537214006,0.10996059277308834,-3.038938445701571,0.0,[4677]
6163,24,0.30939171583002945,0.10459538370638267,-3.0717470509048868,0.0,[5162 5355]
6328,25,0.31233917105144426,0.10441301099217662,-3.062622690448129,0.0,[6163]
7094,26,0.3246978417454043,0.1120143542416877,-2.984358931672571,0.0,[6328]
7937,27,0.33686376653620453,0.1085431702867837,-2.9156376545023854,0.0,[7094]
8944,28,0.35088554444359554,0.11850651991782019,-2.932726012385283,0.0,[7937]
9614,29,0.3596023999147717,0.11229495723782634,-2.9520547736079252,0.0,[8944]
10459,30,0.36982304738731453,0.10642028852525072,-2.9093947247902623,0.0,[9614]
11950,30,0.38623519854980726,0.12683452541557597,-2.7701679511924033,0.0,[9614]
11173,31,0.37804737216318907,0.10891884893780816,-2.933499550660472,0.0,[10459]
12379,31,0.3904844007097532,0.12787267934197266,-2.753593245018467,0.0,[11950]
12275,32,0.38945373132033134,0.10898372360601581,-2.8825429378900584,0.0,[11173]
12511,32,0.39184918753870646,0.10537265370773133,-2.9365132344010307,0.0,[11173]
12880,32,0.39552175157755076,0.1163648950484046,-3.0719022285125965,0.0,[11173]
12960,32,0.39644516627368265,0.1291110690323781,-2.7173531689465342,0.0,[12379]
13456,32,0.4015384184750982,0.12716033563284412,-3.009644852809564,0.0,[11173]
13689,33,0.40388306088313086,0.12979442028084248,-2.7630394494125383,0.0,[12960]
13765,33,0.4046610851614295,0.10835191405313696,-2.773349996866502,0.0,[12275]
13810,33,0.4050396899989819,0.12095475981216006,-3.1367131220389313,0.0,[12880]
13989,33,0.40648086243264203,0.10966158869958938,-3.1387727781977888,0.0,[12880]
14149,33,0.40797100789799123,0.11919701038319842,-2.898898035822647,0.0,[12275 12511]
14514,33,0.4113103125208968,0.11626562635426232,-2.9410333165701825,0.0,[12275 12511 12880]
15155,33,0.417048497508824,0.12752308291107123,-3.02848949275943,0.0,[12275 12511 12880 13456]
15317,34,0.41866947314407144,0.12041291413515158,-2.815724479261005,0.0,[13689 13765 14149]
16195,34,0.42664548123371293,0.11282757179488818,-2.922082536284311,0.0,[13765 14149 14514]
16649,34,0.4306691692557366,0.11843329993232798,-2.9508941375989437,0.0,[13689 13765 13810 13989 14149 14514 15155]
17345,35,0.4369495862622442,0.11999931204889985,-2.9677550676029183,0.0,[15317 16195 16649]
18762,36,0.44773343628801787,0.11914533448839144,-2.9893620564036114,0.0,[17345]
19824,37,0.45577486866243655,0.11500924363259675,-2.969579631081132,0.0,[18762]
20176,38,0.4584235549145076,0.11549671656023848,-2.9523093626163988,0.0,[19824]
21249,39,0.4663925184106986,0.12277545602364372,-2.954562445418362,0.0,[20176]
22993,40,0.4782237847030437,0.11847095043392411,-3.043209362018629,0.0,[21249]
24215,40,0.48644483272264505,0.12905019801016945,-3.068246765378276,0.0,[21249]
26049,41,0.49822869309792084,0.10345941015503808,3.1348109671143516,0.0,[22993]
26762,41,0.502764516461052,0.12216523274026203,3.1113664541972192,0.0,[22993 24215]
26340,42,0.5000281327354517,0.10243341714439962,3.135822882078924,0.0,[26049]
29390,42,0.52082388807442,0.11803601146908027,3.006859762003235,0.0,[26049 26762]
28798,43,0.5166640099779117,0.1056642941414523,3.018320327978695,0.0,[26340]
29578,43,0.5221669875366723,0.12057659271495991,3.088965175392299,0.0,[26340]
29838,43,0.523998423047618,0.0857914567104215,-3.002289889120675,0.0,[26340]
30261,43,0.5270635997762706,0.12040831838906285,2.99921779073974,0.0,[26340 29390]
30160,44,0.5263629549791592,0.11182062520260641,2.976615774259435,0.0,[28798]
