element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0.0,0.0,[]
1,1,0.011531423897336857,0.00738316265221117,3.0906730081306213,0.0,[0]
6,2,0.017254652939202253,0.011759119693998756,2.9754833431566725,0.0,[1]
12,3,0.022167182938804375,0.008047143463265755,2.7431829776618972,0.0,[6]
18,4,0.024172107866840653,0.00849028214453465,2.6278199164150404,0.0,[12]
24,4,0.02786928306837977,0.0044761467353110285,2.9563432326348673,0.0,[12]
36,5,0.03252425334732356,0.0037203829820156758,-2.9212546598855456,0.0,[18 24]
65,6,0.03971671665818932,0.0062988822307042764,-2.462479875287463,0.0,[36]
73,6,0.04063236425537875,0.004406094742013872,1.044303514745942,0.0,[36]
94,7,0.044945276927284006,0.0033388235879125427,-1.5286947166375042,0.0,[65]
97,7,0.04609582623316044,0.006397595117461455,1.6776519212468781,0.0,[73]
134,8,0.05255038796533962,0.008811059255167447,-1.4382969653407975,0.0,[94]
164,8,0.05599356506894937,0.004951694461385157,-2.5321173102975822,0.0,[94 97]
172,9,0.057080203845919386,0.004023621278792304,-2.5029772466768367,0.0,[164]
190,9,0.05886693460903447,0.00904520918232766,-1.4105731020007473,0.0,[134]
219,10,0.06217949236793774,0.008804900344647612,-1.2062671533228722,0.0,[190]
330,10,0.0722700392167015,0.010157792196150083,-2.9645701984210038,0.0,[172]
301,11,0.06972488725065029,0.0020988409099857077,-2.0042565308083797,0.0,[219]
460,11,0.08060312992975394,0.017926771439911286,-3.047167133748207,0.0,[330]
445,12,0.0795230883771667,0.008241751609409024,-2.226493850138371,0.0,[301]
569,12,0.0863770555281318,0.018894759659425404,3.1154851217962065,0.0,[460]
658,13,0.0908246732283009,0.017939827917922514,-1.981862837675114,0.0,[445]
785,13,0.0975462184437963,0.019218336664641095,-2.6482226327654703,0.0,[445 569]
850,14,0.1002837345106784,0.016554770594676017,-2.6499384341420305,0.0,[785]
929,14,0.10299389409294923,0.017958348142798185,-2.4921958546067198,0.0,[658 785]
1179,15,0.11166991404029669,0.024030245904657507,-2.2727393445187594,0.0,[850 929]
1406,16,0.11888068861989565,0.024002780185127467,-2.0624953225684424,0.0,[1179]
1630,17,0.12598823098898415,0.024706571425683718,-1.9005327446233247,0.0,[1406]
1871,18,0.13179788106473378,0.021927454749015956,-1.8060894949825612,0.0,[1630]
1999,19,0.13453765404375584,0.019803149579059372,-1.8732990334548056,0.0,[1871]
2399,20,0.14267759461146046,0.014392791963990608,-1.6514221623771907,0.0,[1999]
2625,21,0.1467117917439692,0.01487466101837388,-1.5110086511603074,0.0,[2399]
3089,22,0.15471227015429811,0.007615984830138627,-1.4485463188203336,0.0,[2625]
3357,23,0.15879950930848807,0.008147263186003466,-1.7338129141039653,0.0,[3089]
4088,24,0.16969534194599623,0.009328527914220381,-0.6147215137448047,0.0,[3357]
4722,25,0.17815677896902482,0.011363906962224071,-0.6846481865630337,0.0,[4088]
4842,25,0.17974053678960233,0.009802429210958882,-1.034986059066903,0.0,[4088]
5728,26,0.19011214936108856,0.010885250962356915,-1.6906097876462371,0.0,[4722 4842]
6651,27,0.1992298651442922,0.01645908386433641,-1.8909685023889793,0.0,[5728]
7103,28,0.20397609067900413,0.015983387576550094,-1.9948379558514984,0.0,[6651]
7804,29,0.2099360491582356,0.018451582731180975,-1.8725195554271106,0.0,[7103]
8506,30,0.21617834187076623,0.01736367524957415,-1.6645766579016184,0.0,[7804]
9203,30,0.22224979772823672,0.008968033947571003,-2.4051874680787275,0.0,[7804]
10186,31,0.2299993548122401,0.01636142753187832,-1.6271474016115448,0.0,[8506]
10553,31,0.2327651626651891,0.014479152775915024,-1.7729380942365156,0.0,[8506 9203]
10847,32,0.23523460870280544,0.012950690070092294,-1.6642122372784935,0.0,[10186 10553]
11664,33,0.24087738194488872,0.017057387133413152,-1.854118182999628,0.0,[10847]
12876,34,0.24895185621487004,0.015485908835189154,-2.133055307166727,0.0,[11664]
13664,35,0.25397302789025,0.014872303322739977,-1.868646336865867,0.0,[12876]
15022,36,0.2620318521015581,0.020002895001521605,-1.7610719232957301,0.0,[13664]
16879,37,0.2721808768814943,0.020747214716650395,-1.273682812129196,0.0,[15022]
17831,38,0.2771649801556688,0.021571878181301515,-1.4959404564082612,0.0,[16879]
18660,38,0.28149346909667083,0.020602094754058123,-1.0107071750212517,0.0,[16879]
21390,39,0.2946617542133184,0.031071602820449688,-0.9558668299288177,0.0,[17831 18660]
22450,40,0.2993457976862717,0.034846772552047274,-0.9620543508490272,0.0,[21390]
23754,41,0.30513580642137017,0.035014843915080744,-1.0341375043854353,0.0,[22450]
25547,42,0.31266768147192936,0.03370540466201403,-0.9376910202954479,0.0,[23754]
28471,43,0.32412366357401556,0.031765584323679825,-0.8890341659831387,0.0,[25547]
29821,44,0.32897436770568267,0.033419730033311966,-0.8677180320525625,0.0,[28471]
30075,44,0.32994085126090833,0.036376032704586184,-0.981285304013957,0.0,[28471]
31988,45,0.33672521638069264,0.03952491043951602,-0.9032581366629614,0.0,[29821 30075]
33600,46,0.3423594925477065,0.039307379551265224,-1.0336994220162092,0.0,[31988]
35639,47,0.3493706873702851,0.03235593697086106,-1.0533352643611615,0.0,[33600]
37966,48,0.3567439217571309,0.03542925001601101,-0.9530892107236499,0.0,[35639]
41033,49,0.3659683176903351,0.03257028860123098,-0.7281277330787491,0.0,[37966]
43805,50,0.37413418007322785,0.036053804427562675,-0.6310334873202025,0.0,[41033]
43909,50,0.3744719423836428,0.037188482177317836,-0.5472525351590373,0.0,[41033]
