element,level,t,r,theta,phi
31519,16,0.3397996841163682,0.08742314944316591,3.1255926289321723,1.9237639366994799
24436,17,0.3190821600894781,0.1324439729676662,2.0444827578728444,1.855351041381279
29083,17,0.33289147456054413,0.11681474782462437,2.25569357895467,1.7774659296198347
36872,17,0.3534925892771802,0.08361772186268829,-3.037264672566084,1.6971106498041209
38366,17,0.3570346820277067,0.06959931942165824,-2.9297850455420544,2.214573466979221
41727,17,0.364509950501019,0.07502312650361162,-3.090655081722165,1.8403217654944546
31272,18,0.33916128526153244,0.11655569315837426,2.1275185601622155,1.85534550287003
40401,18,0.3616556786697469,0.11136495046489876,2.4685134942756837,1.6495557219123862
51795,18,0.3841650111639423,0.08516641639133694,-3.0036519517440916,1.9681529992581321
39374,19,0.3594199133669326,0.1191771204452003,2.070599718999336,1.7689932841504694
44867,19,0.3707576786954462,0.11483209713915547,2.455992791794673,1.5898028924907355
57399,19,0.3942251708295692,0.08797796509968193,-3.069827753413358,2.036011195972658
51426,20,0.3835183412009111,0.1207217121147439,2.103020404302557,1.6831645079519648
52829,20,0.3861060505851499,0.11714316344612119,1.8487572237011358,1.8137197129540084
62471,20,0.4025595672328045,0.09895838728569262,2.249235037629319,1.6240812340776782
67142,20,0.410078870505575,0.09643675476262227,3.0964735668019987,2.065259693952737
68945,20,0.4126768328917516,0.09080172143609092,-3.096199300003969,2.0738380606263624
55812,21,0.39152590122137,0.12257353993335195,2.1221407522428617,1.7092588532386659
65341,21,0.40716850352796063,0.1184065193074895,1.7004821557158065,1.7403907928509492
75403,21,0.42222698440937956,0.10040916502770288,3.1348923275049114,1.9698831884464854
78655,21,0.42682027087084906,0.08249791176481805,-2.9701823642865715,2.02657161174729
80530,21,0.4293851620753544,0.10160442107299507,2.384808818529707,1.4993299309137285
68553,22,0.41209654189486444,0.13570412014551925,2.1927492554930956,1.7054011632713395
75375,22,0.4221959627448094,0.11529563102719347,1.7770595454125857,1.6772725098182086
85383,22,0.4357673970869066,0.10119669831720826,-3.067835781112035,1.8784187902265082
90995,22,0.4427156646493311,0.07505565824039814,-3.0424876013996087,1.913228444962048
100692,22,0.45399794965780416,0.10394645988647327,2.541742126071049,1.3816890457948017
85390,23,0.4357762195525172,0.12143046166987116,1.7747472994052451,1.738266389163945
88436,23,0.43957168039099237,0.13067933437472956,2.13519283358029,1.770770511044116
91282,23,0.4430724757780199,0.14223765276610778,2.1677839771213385,1.8183036786365352
