element,level,t,r,theta,phi
19808,17,0.5820079162766927,0.13669577485552778,-2.383688336004174,1.839784548329861
20778,17,0.599860408679183,0.11971567931090532,-2.157855831347746,1.695489318925958
21710,17,0.6180639810807285,0.036333683049847104,-1.222116857406319,1.9740266755890397
21653,18,0.6167712403425386,0.1318886020834786,-2.3970268809674704,2.0028725765141986
22490,18,0.6353607417904246,0.11423579059675877,-1.9722802393900858,1.5626461800665614
22637,18,0.6389195237159087,0.12342336858547269,-2.5822315285697877,1.8733308349101203
23205,18,0.6551056755428075,0.05925347388631101,-1.2877728081474367,1.96014888631858
23343,19,0.6590302256446517,0.12051201924062609,-2.524451115639515,2.0108777315781947
24495,19,0.7025068793940341,0.06278216519450984,-1.2247847867818833,1.9668912411644628
24572,19,0.7063151170356964,0.05678317853667045,-1.004696045518082,2.3651392364579764
24587,19,0.7070567628770182,0.06377364378107431,-1.191122254814218,2.20491688012326
24659,19,0.7101574040783929,0.05913844858143287,-1.1153701859129026,1.759531210352831
24739,19,0.713877955585201,0.06322424993162591,-1.3966045429258367,1.8671007084211957
24623,20,0.7085653976839789,0.08750493428214137,-2.6301715380087756,2.179415567922072
25239,20,0.7436475202559183,0.04610708640302434,-1.3288110244113465,2.0764204306404963
25523,21,0.7663358763858742,0.0313223563824663,-1.4500801465237063,2.477073588227003
25561,21,0.769648618719268,0.056644437720533763,-2.6487821504265714,1.7528745744284748
25756,22,0.791853390109578,0.04216863496998312,-2.1381103882005896,2.336098485025258
25811,22,0.7989752515754271,0.039080788192223284,-2.8326768662864636,1.8036153186826709
25888,22,0.8090384977691469,0.029236404892796216,-2.6058750860661615,1.3453683106861072
25978,23,0.8246536327825585,0.044311709938432066,-2.739166168872557,1.6648283647524293
25997,23,0.8295565406798862,0.03608126834790134,2.7191726562306324,2.3111403098753036
26034,23,0.838345974407004,0.04004320401801527,-2.2776694371870336,1.6634004732209728
26115,24,0.8732521654142468,0.03574327582268625,3.116948010806403,1.4527709606670436
26156,25,0.9090165939841983,0.03911672013285315,-3.09862445183821,0.9391993611192744
26175,26,0.9404382098001973,0.027922340761495867,2.185002137414446,1.1602197861319201
26180,27,0.9776025657387544,0.016466650701391368,2.3190869198062902,1.5819803474324172
26181,28,1.0,0.0,0,0
0,0,0.0,0.0,0,0
1,1,0.055336490536326055,0.054985117478151484,-2.6723516480785,2.7154417808930145
2,1,0.06881119028171767,0.014211673019141224,-0.545056962868778,1.6144094761753813
3,1,0.07787996464746982,0.025986076343884442,-1.4734825391349788,2.0867869337275646
4,1,0.07967668210972956,0.06162426413708191,-2.8685050408548287,1.5724302051971328
11,1,0.09472791152170579,0.04224399557207882,-2.703985014595955,1.022332145322232
12,1,0.09496601613028421,0.06381506720576902,-2.649428686227789,1.2261371431900212
7,2,0.0896471850645022,0.03238150639959535,-0.8397641937754774,2.8605594098574314
16,2,0.09834781184121943,0.03845589833561084,-0.5849947711930775,2.333474852710324
21,2,0.10134942988406759,0.03271424884469657,-0.5025509909861323,0.2893187623289147
25,2,0.10433394100438464,0.04303499060123868,-1.0822736495563765,2.3318263942493784
32,2,0.10826783786424143,0.08047028587846841,-1.4553316977233892,2.7064894694020754
34,2,0.10981997319662151,0.07744033532690694,-2.364729052659635,2.316067220889789
51,2,0.12175365442973585,0.06506490470013013,-0.8924841342743158,1.7611733408200938
62,2,0.12428665267414418,0.03737129937613359,-2.8731646939621314,1.1018348507827953
74,2,0.13132448737030744,0.12811011517456639,-2.3109577087893505,2.7886061051560196
61,3,0.12410020212429451,0.062369363468642816,-0.7746185408949281,2.6813207580374536
79,3,0.13571282957653108,0.03883808656635953,-2.6614574091970917,1.2805954847393477
101,3,0.1451985046126174,0.06395574539165244,-0.4215092463014242,1.902824303136546
129,3,0.1546107132522544,0.05596205476333232,-0.5181714755659095,1.7130352671273192
137,3,0.15700454895031257,0.03689291840714303,-1.6302177711083763,1.2512628760367788
157,3,0.162750425561354,0.12718502569011028,-2.4180396426269075,2.921739147131977
188,3,0.17326592561040743,0.13550960630838677,3.0209760189184878,2.9981798315241055
213,3,0.1773754388942549,0.1012775681247064,2.8149753941448026,2.7798726818624373
141,4,0.15855407549755196,0.07856872260723918,-1.5571202940433388,2.631133998856998
145,4,0.16015391809535806,0.04878783174019634,-2.4137909179557333,1.5960249799547566
181,4,0.17084650952380276,0.05530548320837375,-0.4383289868568066,3.0246299590888452
201,4,0.1746966013549076,0.04565371254711223,-0.3252893024279617,1.5189492373199573
239,4,0.1814989411457456,0.03400715397545494,-1.7656104885504562,1.36326105917491
307,4,0.19404571720396246,0.10354291416181952,2.576313726635373,2.7832451012882444
417,4,0.21203496784166664,0.11456529247746916,-3.116133899317212,2.7432570943727304
354,5,0.2009076786148094,0.04311728047889362,0.009895696867382986,1.5867941337531728
369,5,0.20398340801735626,0.07550506332418475,-1.3110660064005955,2.308650589041007
413,5,0.21116018584548246,0.08030263972121945,-2.128208569222527,1.5528703130373618
492,5,0.21996371495258804,0.11226909071660318,2.7753170398350413,2.82089630544269
514,5,0.22196087564552702,0.07891599188483706,-0.46316450248325913,1.731026190753762
520,5,0.22280097786761444,0.043410388116642454,0.45555562133984007,0.9462187921259708
528,5,0.22455198732745785,0.06783882231849796,-2.408200864460075,1.3084906069892968
530,5,0.2248339162741071,0.06046830606675885,-1.7106211829052993,0.7189307532692908
599,5,0.23234320204242653,0.10376072238071271,1.4072846111113737,2.902306040243159
617,5,0.23376219900552442,0.12281916784726635,-2.9123965820796647,2.6827790212175073
740,5,0.24455026086683274,0.07852308775115491,-1.532541271954307,1.16485546348334
744,5,0.24512999196665053,0.10031470807993674,3.0423937569099686,2.378485613969702
687,6,0.24038297072917492,0.05075183420067814,-0.14880805442518402,1.8733002842370374
776,6,0.24772027357491422,0.0895510528993692,-0.40735079011038117,1.778309321022203
932,6,0.2592858281080991,0.06405190450581119,-0.5785122424645365,1.3367138019992175
936,6,0.25948768885954643,0.03105623226737707,0.3138869886092351,1.0230988944391843
939,6,0.2596387612537182,0.1159741537830531,2.392680828563061,2.6782234096786133
957,6,0.26138924192496704,0.09528400465716796,-1.3992064931812769,1.6727158242408726
976,6,0.26271310198873576,0.06928303534847065,0.08068416107859834,0.7780526266627162
981,6,0.26336161230321364,0.05408842240015833,-1.2367333937660527,1.0618658524902498
1133,6,0.2728252367026769,0.08623971949171734,-1.5039827654116642,0.9117397544630803
1138,6,0.2731645574176159,0.09574768875033056,-2.258834834137814,0.8952525484425078
1246,6,0.27976392962357544,0.10993086809438724,2.057711691529123,2.561015495696922
1303,6,0.28299391949055497,0.11050795423865245,2.936785945589864,2.41860441356663
1225,7,0.27835741773703004,0.040965266962807806,0.27297427171573146,1.1623325826480384
1286,7,0.2821080438436797,0.05312945460609347,-0.9401696845302391,1.2625206653286596
1308,7,0.2830832802043335,0.08298424208908954,-1.5481427734741742,1.6877547568497369
1341,7,0.2844236993485183,0.0993813766129354,-0.7204191812503327,1.6374044621863246
1371,7,0.285713116168385,0.05768808074292226,0.39751824526176543,0.9769178099298188
1402,7,0.28713910048344626,0.055134025913372346,-0.8287552202882174,1.1189655285863547
1520,7,0.2929419025827712,0.12385701555636182,2.115562275325648,2.7957152476299254
1570,7,0.29523185138646846,0.08626079784508184,-1.2590045278849484,0.9181425417610084
1677,7,0.300081317017044,0.06761107570373384,-1.5511680258150178,1.9250038770966256
1773,7,0.3044733358231655,0.1081426187429112,2.034635631367108,2.681195062854536
1883,7,0.3083057902110191,0.1085482755530897,3.0696897935209524,2.4320532160483332
2155,7,0.31990464628999815,0.12245259467246335,-1.950927165711102,0.7166869654277704
1832,8,0.30662225327478354,0.080772396781509,-1.4406264105867073,1.761686475451821
1857,8,0.30761233298388035,0.07960319010488377,-1.631593943926646,1.4610571367680527
1893,8,0.3086629071760101,0.04938055527070187,0.4314091829433946,0.808319359961647
2131,8,0.3191028621086438,0.03786235099466645,1.464937467536277,0.2858635748559966
2324,8,0.3255796397550572,0.043261962771352545,-1.5309006374912395,2.0551925496444867
2361,8,0.32687711847493417,0.10117351239771248,-0.714101165722036,1.9693397113944107
3041,8,0.34954526053992685,0.13286685580033317,-2.989122835311969,2.2433605392968454
3245,8,0.354890862097191,0.10409897742749528,-1.970244222101723,0.48108140959857315
3251,8,0.35505566105156494,0.07040774038584424,-1.985777755567691,0.485330089113318
3508,8,0.36209099577675163,0.12415275539092643,2.464932535739851,2.4820045178900365
2478,9,0.3315288656940434,0.07329850902053575,-1.4470240130374559,1.9149344397106263
2589,9,0.33522210435368727,0.08997776951540833,-1.577198482133643,1.7392934050967068
2860,9,0.3441930639329429,0.05327461830907738,-1.31980059665927,1.9865786447394747
2876,9,0.3446958025818295,0.10366278103347118,-1.6513042460193341,1.2694116984567105
3144,9,0.3521016697441681,0.032607758613569494,-1.3340236553515155,1.7543573736494058
3153,9,0.3523920695313545,0.047841067142486045,0.07319979877177762,1.0308126266191586
3233,9,0.35457262044398097,0.07210108117234207,-1.2531460558947418,1.1912041521723742
3258,9,0.3551903281532879,0.08730450233670067,-0.6595390539305842,1.7363829524782153
3486,9,0.3612004720799308,0.08457225892148866,0.7976933644336346,0.7147351906272915
3559,9,0.36341435401717137,0.051539584310015145,-2.342332952499822,2.192722763816985
3562,9,0.363453946538446,0.08814188148267005,0.6517999312868815,0.39597099325216667
3680,9,0.3659597822720454,0.032670819135373556,0.4119992060972774,0.9829087887261098
3739,9,0.36760704366916896,0.07121157432515268,0.8476941252872066,0.5600839752685265
3820,9,0.369640522588503,0.11834576703989672,-0.9269171371253623,2.2398957936095623
4143,9,0.37694717689833634,0.06086113108554849,0.6314310736899112,0.7485517771143914
4196,9,0.3779307789715677,0.14857469785962313,-2.8585872071953315,2.163950157735341
4901,9,0.392796549721359,0.10149249885028833,-1.9664904924908109,0.6076149986486797
5498,9,0.40440351109176476,0.135199743944886,2.030656129095252,2.55695260967232
3933,10,0.3723618381855006,0.0438297837078255,-1.3058481548100773,2.3330592157238526
4573,10,0.38591153417776847,0.046583446832182636,-2.445897348977627,2.083893635010789
4618,10,0.3867829268744053,0.036413322962197854,-2.3253684905327687,1.6871723967422392
4844,10,0.3918123951877085,0.10352298085350196,-2.007331474463874,1.2000592435061912
4863,10,0.3920681056711285,0.10199697512393811,-1.7955780419118932,0.922196019945812
5156,10,0.39748833008310847,0.04266897183501215,1.1216973012264717,1.3529089774563092
5193,10,0.3981078732969261,0.0670563702304113,-2.0866658502273787,2.6570922449625307
5291,10,0.3997517828848892,0.13387577225213254,-2.8769357140519,2.092480080552961
5366,10,0.4014886768331619,0.0579409776786304,-2.578255345089334,1.7723572233199136
5400,10,0.4022421591250954,0.10704880695175495,-0.8399582468289188,2.419265423829959
5512,10,0.4047473992311508,0.0705481934661841,0.9775483130182793,0.7549524772186191
5553,10,0.40557999006143675,0.1080733317178273,-1.4403923033461343,2.0075081256070932
5585,10,0.406067409707092,0.14611813981093114,-1.6134223425715961,1.5803829090424446
5617,10,0.4065938242463192,0.09187798863086453,-1.139107315229859,1.4963907327638166
5619,10,0.40663559670694693,0.11726791898880892,-1.9840959773282063,1.4918355241912313
5919,10,0.41204104479890236,0.1311026109910382,2.0446174071985967,2.5327958464066214
5933,10,0.41233767012877365,0.04856464628888237,-1.7228517906311867,0.6574328643503152
5957,10,0.41293867637936654,0.10085124522031706,-1.2091818186629197,0.7857104055345093
6113,10,0.4159340986632335,0.05776889019281536,-1.7275923336951073,0.9169269185222073
6190,10,0.4175456963849533,0.1040847635093407,-1.7300107274781718,0.5055587306235034
6257,10,0.41872670707168036,0.15258912243005546,-1.441145435584248,2.1940445506759865
6416,10,0.42126918457947327,0.1268931060227448,-1.552787649572265,1.581198180894793
7078,10,0.43110259208854373,0.10983762281301176,-2.3814217890865432,2.3323328400502206
6337,11,0.420192687599511,0.04153402955890695,-2.607237004054195,2.3459207542675413
6612,11,0.42407016262833774,0.11548882269017918,-2.8189130300517116,2.199299580790155
6705,11,0.4255447489520432,0.015618681780032263,-1.3515144709373847,0.8408992645828018
6804,11,0.42687947571464935,0.13516577782921846,-3.017138916447598,1.9408850246410219
7030,11,0.4303370129011479,0.05915384875738679,-1.4536754138957309,2.156931249755079
7334,11,0.43454173556984377,0.1230499233930946,-1.519761453556112,0.8235813178961481
7351,11,0.4347815430700226,0.03062137450370334,-0.4261083529098003,0.7768175277327234
7358,11,0.43484138805092665,0.0593840679373321,-1.8702641680407321,2.4586969903502567
7644,11,0.43836734922003706,0.0726487441668247,1.3196101835984015,0.9794760595332599
7749,11,0.43994816041432305,0.06676738489371307,0.44778543068356363,0.7732157788818672
8061,11,0.4443848779400129,0.15235882468992515,1.9382909679490947,2.425394369858957
8266,11,0.44713831917812474,0.0998390909741978,-1.608724838256809,1.9050365127454063
8267,11,0.44715793867543363,0.09826606409560974,-2.5453278943984636,1.1901745119331837
8362,11,0.4482540299739016,0.04821800014794657,-1.4270038848557862,0.8719004406631296
8453,11,0.4494746188609672,0.10557950569972588,-1.632202274513674,0.6745422675634524
8490,11,0.45008375579650883,0.058167507603097225,-1.2564158670186987,2.7024786863605055
8724,11,0.45286579821365724,0.1342844719325763,-1.7692113014907545,1.2952305184607782
9141,11,0.4579099311256285,0.05998346932622723,-2.013387332502474,1.5182217620886584
9180,11,0.45840492164798474,0.10179086708398204,-2.38921850282023,2.0521623370539412
9328,11,0.46018521736276075,0.15291423841272633,-1.3731406980144383,1.763519969709439
9344,11,0.4604100168332259,0.08695012622316371,-1.324455841340639,1.6249991348442918
9559,11,0.46294117460521367,0.11191607564209882,-1.6465204449565247,1.4861081785444112
9981,11,0.4682327468302121,0.16774622438660933,-1.6317991122651736,2.0283543171963845
10541,11,0.4747414234320819,0.09914831624697126,-2.1936707831667426,2.017378484402295
11544,11,0.48582599229698376,0.13144771596379556,-1.8874958939771231,2.4815789399385566
8288,12,0.44732872797004763,0.1483313320946939,-3.0030021355212093,1.9977086260222319
9226,12,0.4590223270937517,0.06753235702692936,0.4740031842705726,0.9718735064091667
9234,12,0.4591311125346379,0.05555907370094923,-1.2585753877176964,0.9027661180464944
9481,12,0.4620695810020091,0.05692576127857327,1.4411819612447927,0.7259897640880759
9513,12,0.46242507236951724,0.053368231831139167,1.0957467901558344,0.9799245962157928
9574,12,0.4631322812692418,0.14211156384107307,-2.835637561114061,1.8728704008801542
9645,12,0.46408592564333684,0.026766647389892876,-1.7728949044172593,1.5456757671556274
9711,12,0.4650389602103543,0.06424758007289938,-1.3940879339796395,2.3347301107296206
10012,12,0.4685943773976532,0.041635015879960255,-1.76076831498853,1.0857424622860217
10169,12,0.47046485748340283,0.10325578992011213,-1.4225294548811365,1.7889081927532324
10674,12,0.4764606299302482,0.08315967053221979,-2.6474809213758688,1.1134149873690933
10828,12,0.47828683751354206,0.1587320844140342,2.9582183884671003,1.9447063579547867
10935,12,0.4793745274675737,0.1698542952219437,1.817271508952004,2.430548856998948
11080,12,0.48090888014359534,0.062252064352107915,2.1125816469862086,2.6749658392785434
11086,12,0.48094584816507935,0.054022207555289525,-2.532866442717139,2.581601133585566
11176,12,0.4818445989730451,0.1372075629386791,1.818423254399293,2.480611327783938
11321,12,0.4835589535762901,0.030151299705097424,2.3801417785649637,1.064360070215698
11487,12,0.4852748099207004,0.12052603180939359,-1.547398635898824,0.7415141066647446
11665,12,0.48693698721858114,0.16355883995538759,2.327582208322143,2.402192588544123
11785,12,0.4878596307810339,0.14591122395288206,-1.4802532349645,1.8949091759878032
12148,12,0.4917408512555229,0.09949750212463582,-1.7816822308900107,1.9818895728536157
12245,12,0.4926819586524307,0.14612112386396495,-2.0308458268127767,1.3114347365432035
12621,12,0.49650552935764924,0.12980627916868984,3.073253130455395,2.3923292662289914
12625,12,0.4965639653512095,0.04506283591408681,-2.623987664696831,1.5189998011622112
12698,12,0.49723909927716836,0.12187704014381265,-1.9383312574729956,1.7684889636955623
12890,12,0.4988676789530885,0.0923299413283764,-1.7888352019089335,2.5575974487213076
12965,12,0.4995591233460964,0.1545559112879627,-1.5494186758387027,1.8825798129537172
12980,12,0.4996925162068936,0.08617595899584686,-1.640821799941611,1.6365312177505227
13042,12,0.5004821366742874,0.10189373723599565,-2.1099522457806934,2.1954627130659783
13310,12,0.5030946436058716,0.15353217760127558,2.2245165688803654,2.5992743550969544
13941,12,0.5094512094043452,0.13774352998272804,-2.0504136863934925,2.4711584198119776
14423,12,0.5140734384288814,0.1366875507781591,2.336220745372622,2.238694091479111
12569,13,0.49589381940220845,0.06473754651233106,1.5750487168263376,1.1338643911918815
12645,13,0.4966792292710467,0.1484618941047044,-2.8610092409147225,2.3015251160562875
12665,13,0.4968643464442847,0.03474113247568253,2.6781892508345275,1.0836194643604875
12984,13,0.49975536483975713,0.14453240478332513,2.872850179987156,1.8832451310469167
13122,13,0.501233388370606,0.05758231054823834,-0.4982669912910479,0.9031948073623454
13450,13,0.5044571026588142,0.032233330885991084,0.31841175102398167,1.282098093252099
13493,13,0.5048175718328374,0.02475611845429255,-1.839341786872482,0.5962363149385458
13530,13,0.5050725682230454,0.12060283097627442,-1.7627104002813698,0.6891710397449697
