element,level,t,r,theta,phi,Interval size,Height,D
0,0,0.0,0.0,0,0,5236,10,4
7,1,1.07345680859532,0.6493213901417962,2.4717214927508557,1.8744559490331039,5236,10,4
20,2,1.4934186649677395,0.8976620428953466,2.2700628869010484,2.1182069624346367,5236,10,4
47,3,1.9056309326783072,1.0120077170077357,2.670491614295189,1.9547554166439172,5236,10,4
135,4,2.4320193053198915,1.1327735049526522,2.783498010651814,2.216172179958958,5236,10,4
217,4,2.7066215097047563,1.1934268675694217,3.031688947192885,2.49678599145731,5236,10,4
349,5,3.099386225341516,1.006621861366358,-2.9216706928404648,2.581931093492808,5236,10,4
688,6,3.677046587494673,1.2573392963838654,-2.2806929083782204,2.3370993810071052,5236,10,4
1532,7,4.432106595823965,1.756316517796446,-1.9030201781592166,2.4802114234577353,5236,10,4
1974,8,4.693174683751655,1.8536945459217462,-1.8326934495425304,2.5056054900757885,5236,10,4
2455,9,4.958975413526976,1.5923537995902655,-1.8152412196651688,2.483694125211307,5236,10,4
4004,10,5.866933794711759,1.5988283279664233,-2.690811172281227,2.6304905437575306,5236,10,4
4270,11,6.092939310147081,1.6834892268346404,-2.5278652412634814,2.7254082953514027,5236,10,4
4716,12,6.68112768320876,1.4233441566441858,-3.0247720031051344,2.540552350160184,5236,10,4
4876,13,7.004107130505348,1.4296437699892925,3.082251660901405,2.5377850339071815,5236,10,4
4980,13,7.230428608640786,1.2981623503246578,3.123339216872922,2.186382960401627,5236,10,4
4993,14,7.263414830193059,1.5756011396437761,2.9194500407723174,2.5991232301055094,5236,10,4
5090,14,7.600793666337763,1.1454748460234203,2.8625711450500617,2.128105409189888,5236,10,4
5149,15,7.846259062445866,1.1976388806378924,2.8715395096847076,2.4056664081168626,5236,10,4
5177,15,8.071371665854176,1.019663457290599,-3.1273879277913865,2.0543937787928352,5236,10,4
5218,16,8.444636048568952,0.9613803696407653,3.1054791077490624,1.6836964818330047,5236,10,4
5222,16,8.514751562078743,0.9181315024330613,-3.1356963056368192,1.9516444537890325,5236,10,4
5225,16,8.62887952230128,0.8544015637971619,-3.1090565855734607,2.0726837723317377,5236,10,4
5235,17,9.289695824292307,0.6291308956337601,-2.474060947352125,1.6087390968885977,5236,10,4
5237,18,10.0,0.0,0,0,5236,10,4
0,0,0.0,0.0,0,0,5236,10,4
1,1,0.5566070064415107,0.3590358226178088,-1.2476342396990951,0.6567854568834189,5236,10,4
2,1,0.6945988439034223,0.6484248991165371,2.3081890943238013,0.37955171586278846,5236,10,4
3,1,0.9078932246798166,0.7732777994884361,0.5970084335308764,2.324238353969216,5236,10,4
5,1,0.9379868413238068,0.8639794121785502,1.438059228932652,1.5671852662466532,5236,10,4
6,1,0.9626835301076053,0.4871127972845423,1.0994492741785642,2.192451593629101,5236,10,4
7,1,0.9661633299098527,0.7596804766317312,-0.3172490820255681,0.4682216761078681,5236,10,4
8,1,0.9676960960188985,0.5569458777439313,1.5745058678605617,1.6736775609837773,5236,10,4
11,2,1.0647949089753306,0.5826687134283359,-2.073800681160464,1.2907903894570771,5236,10,4
22,2,1.4597741619294713,0.8380652534277566,1.150535838645198,1.900872060774543,5236,10,4
25,2,1.5573885844451718,1.024563612579852,1.5247605709002279,0.3953725103992834,5236,10,4
42,2,1.7602507953755708,0.5414411721990707,-0.18520378242577537,1.4435943488110832,5236,10,4
37,3,1.700730962391741,1.101630704555331,-2.0337000150235163,1.2535047060435007,5236,10,4
40,3,1.7462371040886338,0.8045637968671289,-1.8644658612655576,1.0758363556077104,5236,10,4
41,3,1.7541480474877391,0.6396808446354147,-1.8609339835246674,0.8775799122690997,5236,10,4
59,3,1.9101226565453744,0.8183890562065329,1.9190587929485068,0.23882269755711286,5236,10,4
69,3,1.9921371649861064,1.1645497246268852,1.1041830023513852,1.8813865346964067,5236,10,4
75,3,2.0195985427354035,1.4167884723943693,-1.9363684309783344,0.9417985803493506,5236,10,4
79,3,2.073759793928417,1.0314233835537574,-0.9469514918957453,1.4495564220996886,5236,10,4
86,3,2.114188056103874,0.3413509712614409,0.06734618143893743,1.3350103225917713,5236,10,4
94,3,2.1483285276498765,1.1668434808503652,-1.9815835079256816,1.7412145434425352,5236,10,4
120,3,2.289099797592141,1.328936504920847,-1.4361832095310312,1.3252206477725428,5236,10,4
136,3,2.356855600035378,1.5566659140182255,-1.7121198745104278,2.1038453602418143,5236,10,4
97,4,2.1667060675187177,0.6206449413774597,-2.2414905869561137,0.7819520926666327,5236,10,4
128,4,2.329533763448328,1.2651931904363376,-1.980175192139591,0.773749827598076,5236,10,4
146,4,2.40599666654696,1.603184053150108,-1.8947819545750333,1.5200129705798655,5236,10,4
194,4,2.586622747007322,0.9822434662801893,0.8340926975556405,1.5558397672633204,5236,10,4
198,4,2.625622625770517,0.8381965905093245,-0.5608039777908427,1.2841470631670981,5236,10,4
199,4,2.6256541668592384,0.6378738128593724,-0.7579223434878578,1.109274744799188,5236,10,4
215,4,2.6865070474523813,1.3756731699074443,-1.674080812615473,1.9692399554474767,5236,10,4
292,4,2.941702558320337,1.7399661661866526,-1.7264908564336483,1.1938321976746689,5236,10,4
309,4,2.983213963206417,1.3854574534008761,-1.098764807062127,0.9913005436317467,5236,10,4
359,4,3.0989691419064114,1.3155986592954552,-0.4826738963973346,0.8175352948019564,5236,10,4
393,4,3.1537163641328716,1.389847716945998,-1.014254058277599,1.1549446098574052,5236,10,4
345,5,3.079829406738026,1.325609574718756,0.95912160032394,1.5005458143676234,5236,10,4
376,5,3.1275549099406463,1.2306717419103366,-3.140056718557756,0.5088607784281324,5236,10,4
