element,level,t,r,theta,phi,Interval size,Height,D
0,0,0.0,0.0,0,0,6545,10,4
1,1,0.5009868965424125,0.4151008611112339,-1.8926036418723053,2.043413444781081,6545,10,4
20,2,1.3296830062759635,1.0656902501433505,-1.797698811214362,1.5814899450943265,6545,10,4
57,3,1.8351573572312163,1.35344458980982,-1.9016528736361045,1.2582080227285894,6545,10,4
115,4,2.1463873716126045,1.2726429605918632,-1.8553347150875237,1.3276976375233431,6545,10,4
288,5,2.677252736357041,1.0646847929564858,-1.5503081128565626,1.2480521548161199,6545,10,4
484,6,3.0389556072168835,1.2713458580632049,-1.5851157059286571,1.470048252030961,6545,10,4
847,7,3.5324280938408448,1.4658128803160018,-1.7612191820312186,1.3647333432803466,6545,10,4
1204,8,3.8391357267774118,1.2603903548761701,-1.8027427538100003,1.519767171799676,6545,10,4
2515,9,4.658414289201561,0.7649964785709221,-1.61011405048341,1.704974879796149,6545,10,4
3259,10,4.982577480043111,0.9276745339145964,-1.3616672067962443,1.5051307629927562,6545,10,4
4216,11,5.390683623263742,1.2285075893141677,-1.3834326836307995,1.4677379983080272,6545,10,4
5115,12,5.940768474449048,1.0611146207756619,-1.3927783736493815,1.8613923282191343,6545,10,4
5730,13,6.453918375583121,0.8545465180496361,-1.0034614201599337,1.8894953587423458,6545,10,4
5808,13,6.557539085311368,0.7294949114683836,-0.8214885866052497,1.6495658085244707,6545,10,4
6088,14,6.953275626664224,0.8454652776251832,-0.6696939958873686,1.452659417156708,6545,10,4
6367,15,7.602986649356329,0.2404437753846979,-0.8321538366672736,1.269512037840543,6545,10,4
6463,16,8.08022492414803,0.5526581234692494,-0.542530457251987,1.9974554950958665,6545,10,4
6506,17,8.475622351253826,0.39380397398828576,-1.3743473207352475,2.0309807530353576,6545,10,4
6533,18,8.914041017058109,0.5513373687264914,-1.2268676355206682,1.3579382853362445,6545,10,4
6537,18,9.044450191572746,0.19558533507310238,-0.4549646172276242,2.097792691417857,6545,10,4
6543,19,9.384422216258118,0.3752345231184948,-1.871660970790755,1.5206652462171102,6545,10,4
6545,19,9.630032813813031,0.20358158989371283,2.016812785498091,2.735848779837642,6545,10,4
6546,20,10.0,0.0,0,0,6545,10,4
0,0,0.0,0.0,0,0,6545,10,4
1,1,0.6910082990471211,0.48805924906339127,2.9606004767976293,1.9926019082109294,6545,10,4
6,1,1.155821253526158,1.0266984771248902,2.2716186665543345,1.9532578066809685,6545,10,4
42,2,1.6972497012720378,1.0642144987599436,2.4054057199092385,1.663125604762493,6545,10,4
119,3,2.1884100065644962,1.3835208464922735,2.294959803878214,1.6107827162215707,6545,10,4
336,4,2.819620882064217,1.1400909951455207,2.695653931587575,1.4186700443589177,6545,10,4
563,5,3.217223692025083,0.8790099152111988,2.6085167282672725,1.5271364706930635,6545,10,4
839,6,3.5547880560404863,0.8110489712884796,2.793805918074032,1.8069572430454037,6545,10,4
1919,7,4.339755662712882,1.0100120700456845,-3.0210860681766585,2.220319154405644,6545,10,4
2245,8,4.509404426146117,0.8864785231260123,-2.87026441077261,2.2315119452125836,6545,10,4
3960,9,5.266586582519269,1.1501320883094697,-2.4558695707936664,1.972792892306678,6545,10,4
5055,10,5.864932859006412,1.4874123071512797,-2.4813014167345124,2.047249945541329,6545,10,4
5532,11,6.248687794354661,1.5209804969800294,-2.7246372764706495,2.13586889147437,6545,10,4
5873,12,6.619376975976781,1.5442131520283224,-2.925315720579187,2.100028674134499,6545,10,4
6217,13,7.157037267989238,1.149302504220901,-3.1005381776960714,2.1585528142513395,6545,10,4
6340,14,7.464739730180102,1.1585034395956293,3.0146389219631775,1.965388998411651,6545,10,4
6438,15,7.925997804803853,1.139440809185598,2.6342719287691296,1.8765047726887356,6545,10,4
6523,16,8.518301622560502,0.7510149030682719,2.973549493451632,1.917608439063191,6545,10,4
6538,17,8.89243830735688,0.6967361835514352,3.039177219018015,1.8196781104309288,6545,10,4
6546,18,10.0,0.0,0,0,6545,10,4
0,0,0.0,0.0,0,0,6545,10,4
1,1,0.4275091305508172,0.3931433543511286,-2.6726568117275264,1.5216866534101805,6545,10,4
2,1,0.6548967681174311,0.6536980043139737,2.3650523012163007,1.6469271082286405,6545,10,4
6,1,0.9789876274986631,0.6883374793639003,1.853202762413713,1.8822474558269084,6545,10,4
5,2,0.9565915984102547,0.38761658256973147,-1.6455260395580344,1.9054440318363968,6545,10,4
14,2,1.1971992514715357,0.37132909321820656,-2.7297974065407478,0.8392656419324159,6545,10,4
16,2,1.289062246282291,0.7503971364508089,1.606397138464551,1.8660630932387041,6545,10,4
22,2,1.3765181823238415,1.2300008602939971,-2.322398464499247,1.6030642086334996,6545,10,4
38,2,1.602636557524898,0.7922108884911624,0.966150654798788,2.356993687901339,6545,10,4
31,3,1.5031333013371562,0.5631452828590919,-1.6645038764997482,1.5516239052583074,6545,10,4
66,3,1.8495397601724817,1.1739814845856802,-1.991662260993663,2.2278013936552763,6545,10,4
69,3,1.8765874508346314,0.9462003677602528,-1.8054999257629323,1.4926362813168261,6545,10,4
86,3,1.9638313137863739,1.3610744790728497,-2.3059639003765735,1.7229692484076362,6545,10,4
96,3,2.010348646190373,0.46148083659665834,1.2923016447107876,2.691449416285609,6545,10,4
99,4,2.0309527416985973,0.49076509165266324,-2.3661318865667966,2.3502212447066597,6545,10,4
141,4,2.2242106764667504,0.5030650350141788,1.3189944570699899,2.506867994737062,6545,10,4
145,4,2.233989353183804,0.6024183361075198,-0.7942619434466678,1.7239478122511773,6545,10,4
